billProposer1,KMT,DPP,PFP,TSU,male,mainlander,SMD,birthyear,incumbent,Internal Administration Committee,Foreign and national defense committee,Economics Committee,Finance committee,Education and Culture ,Transportation,Judicial and organic laws and statutes,Social Welfare and Environmental Hygiene,Procedure Committee,Discipline Committee,Constitutional Amendment Committee,Expenditure Examination
丁守中,1,0,0,0,1,1,1,1954,1,0,0,1,0,0,0,0,0,0,0,1,0
孔文吉,1,0,0,0,1,0,1,1957,0,0,0,0,0,1,0,0,0,0,1,0,0
王廷升,1,0,0,0,1,0,1,1965,1,0,0,0,0,0,0,1,0,1,0,0,0
王育敏,1,0,0,0,0,0,0,1971,0,0,0,0,0,0,0,0,1,1,0,0,0
王惠美,1,0,0,0,0,0,1,1968,0,0,0,1,0,0,0,1,0,0,0,0,1
王進士,1,0,0,0,1,0,1,1948,0,0,1,0,0,0,1,0,0,0,1,0,0
江啟臣,1,0,0,0,1,0,1,1972,0,1,1,0,0,0,0,0,0,0,1,1,0
江惠貞,1,0,0,0,0,0,1,1963,0,0,0,0,0,0,0,0,1,1,0,1,0
吳育仁,1,0,0,0,1,0,0,1969,0,0,0,0,0,0,0,0,1,1,0,1,0
吳育昇,1,0,0,0,1,1,1,1958,1,1,0,0,0,0,0,0,0,1,1,1,0
呂玉玲,1,0,0,0,0,0,1,1961,0,0,0,0,0,1,0,0,0,0,0,0,0
呂學樟,1,0,0,0,1,0,1,1952,1,0,0,0,0,0,0,1,0,0,1,1,0
李貴敏,1,0,0,0,0,0,0,1959,0,0,0,1,1,0,0,1,0,1,1,1,0
李慶華,1,0,0,0,1,1,1,1948,1,0,0,1,0,0,0,0,0,0,0,1,0
林郁方,1,0,0,0,1,0,1,1951,1,0,1,0,0,0,0,0,0,0,0,0,0
林國正,1,0,0,0,1,0,1,1966,0,0,0,0,0,0,1,1,0,0,0,0,1
林滄敏,1,0,0,0,1,0,1,1958,1,1,0,1,0,0,0,1,0,0,0,1,0
林德福,1,0,0,0,1,0,1,1953,1,0,0,0,1,0,0,0,0,1,1,1,0
林鴻池,1,0,0,0,1,0,1,1955,1,0,1,0,0,0,0,1,1,1,0,1,0
邱文彥,1,0,0,0,1,0,0,1953,0,1,0,0,0,0,0,0,0,1,1,0,0
紀國棟,1,0,0,0,1,0,0,1960,1,1,0,0,0,0,0,0,0,0,0,0,0
孫大千,1,0,0,0,1,1,1,1969,1,0,0,0,1,0,0,0,0,0,0,0,0
徐少萍,1,0,0,0,0,1,0,1941,1,0,0,0,0,0,0,0,1,0,1,1,0
徐志榮,1,0,0,0,1,0,1,1955,0,1,0,0,0,0,0,0,0,0,0,0,0
翁重鈞,1,0,0,0,1,0,1,1955,1,0,0,1,1,0,0,0,0,0,1,0,1
馬文君,1,0,0,0,0,0,1,1965,0,0,1,0,0,0,0,0,0,0,1,0,0
張嘉郡,1,0,0,0,0,0,1,1981,1,0,1,1,0,0,0,0,0,0,0,1,0
張慶忠,1,0,0,0,1,0,1,1951,1,1,0,0,0,0,0,0,0,0,1,0,0
許淑華,1,0,0,0,0,0,1,1975,0,0,0,0,0,0,1,0,0,0,0,0,0
陳根德,1,0,0,0,1,0,1,1956,1,0,0,0,0,0,1,0,0,0,1,0,0
陳淑慧,1,0,0,0,0,0,0,1957,1,0,0,0,0,1,0,0,0,1,1,0,0
陳雪生,1,0,0,0,1,1,1,1952,0,0,0,0,0,0,1,0,0,0,0,1,0
陳超明,1,0,0,0,1,0,1,1951,0,1,0,0,0,0,0,0,0,0,0,0,1
陳碧涵,1,0,0,0,0,0,0,1960,0,0,1,0,0,1,0,0,0,1,1,0,0
陳學聖,1,0,0,0,1,0,1,1957,0,0,0,0,0,1,0,0,0,0,1,0,0
陳鎮湘,1,0,0,0,1,1,0,1942,0,0,1,0,0,0,0,0,0,1,1,0,0
曾巨威,1,0,0,0,1,0,0,1951,0,0,0,0,1,0,0,1,0,0,0,1,0
費鴻泰,1,0,0,0,1,1,1,1954,1,0,0,0,1,0,0,0,0,1,1,1,0
黃志雄,1,0,0,0,1,0,1,1976,1,0,0,0,0,1,0,0,0,1,0,0,0
黃昭順,1,0,0,0,0,0,1,1953,1,0,0,1,0,0,0,0,0,0,1,0,1
楊玉欣,1,0,0,0,0,0,0,1974,0,0,0,0,0,0,0,0,1,0,1,0,0
楊應雄,1,0,0,0,1,0,1,1957,0,0,1,0,0,1,0,0,0,0,1,0,0
楊瓊瓔,1,0,0,0,0,0,1,1964,1,0,0,1,0,0,0,0,0,0,1,1,0
楊麗環,1,0,0,0,0,0,1,1957,1,0,0,0,0,0,1,0,0,0,1,0,0
詹凱臣,1,0,0,0,1,0,1,1951,0,0,1,0,0,0,0,0,0,1,1,0,1
詹滿容,1,0,0,0,0,0,0,1956,0,0,0,0,0,0,0,1,0,0,1,0,0
廖正井,1,0,0,0,1,0,1,1945,1,0,0,1,0,0,0,1,0,1,1,0,1
廖國棟,1,0,0,0,1,0,1,1955,1,0,0,1,0,0,0,0,0,1,0,1,1
潘維剛,1,0,0,0,0,1,0,1957,1,0,0,1,1,1,0,1,0,1,1,0,1
蔡正元,1,0,0,0,1,0,1,1953,1,0,0,0,1,0,0,0,0,0,0,0,0
蔡錦隆,1,0,0,0,1,0,1,1958,1,0,1,0,0,0,0,0,1,0,0,1,0
蔣乃辛,1,0,0,0,1,1,1,1948,1,0,0,0,0,1,0,0,0,0,0,0,0
鄭天財,1,0,0,0,1,0,1,1956,0,1,0,0,0,1,0,1,0,1,0,0,1
鄭汝芬,1,0,0,0,0,0,1,1957,1,0,0,0,0,0,0,0,1,0,1,1,1
盧秀燕,1,0,0,0,0,1,1,1961,1,0,0,0,1,0,0,0,0,0,1,1,1
盧嘉辰,1,0,0,0,1,0,1,1953,0,1,0,0,0,0,1,0,0,0,0,0,0
賴士葆,1,0,0,0,1,0,1,1951,1,0,0,0,1,0,0,1,0,1,1,1,0
謝國樑,1,0,0,0,1,0,1,1975,1,0,0,0,0,0,0,1,0,0,0,0,0
簡東明,1,0,0,0,1,0,1,1951,1,0,1,1,0,0,1,0,0,0,0,0,0
顏寬恒,1,0,0,0,1,0,1,1977,0,0,0,0,0,0,0,1,0,0,0,1,0
羅明才,1,0,0,0,1,0,1,1967,1,0,0,0,1,0,0,0,0,0,1,0,0
羅淑蕾,1,0,0,0,0,0,1,1952,0,0,0,0,0,0,1,0,0,0,1,0,0
蘇清泉,1,0,0,0,1,0,0,1957,0,0,0,0,0,0,0,0,1,0,1,0,0
尤美女,0,1,0,0,0,0,0,1955,0,0,0,0,0,0,0,1,0,1,1,1,0
田秋堇,0,1,0,0,0,0,0,1954,1,0,0,0,0,0,0,0,1,1,1,0,0
何欣純,0,1,0,0,0,0,1,1973,0,0,0,0,0,1,0,0,0,0,1,0,1
吳宜臻,0,1,0,0,0,0,0,1970,0,0,0,0,0,0,0,1,0,1,1,0,0
吳秉叡,0,1,0,0,1,0,0,1966,0,0,0,0,1,0,0,0,0,1,0,1,0
李昆澤,0,1,0,0,1,0,1,1964,0,0,0,0,0,0,1,0,0,0,1,1,0
李俊俋,0,1,0,0,1,0,1,1965,0,1,0,0,0,0,0,0,0,0,1,1,0
李應元,0,1,0,0,1,0,0,1953,0,0,0,0,1,0,0,0,0,1,1,1,0
林岱樺,0,1,0,0,0,0,1,1972,1,0,0,1,0,0,0,0,0,0,1,0,1
林淑芬,0,1,0,0,0,0,1,1973,0,0,0,0,0,1,0,0,1,0,0,0,1
邱志偉,0,1,0,0,1,0,1,1972,0,0,1,0,0,1,0,0,0,0,1,0,0
邱議瑩,0,1,0,0,0,0,1,1971,1,1,1,1,0,0,0,0,0,0,1,0,0
姚文智,0,1,0,0,1,0,1,1965,0,1,0,0,0,0,0,0,0,0,1,1,0
柯建銘,0,1,0,0,1,0,0,1951,1,0,0,0,0,0,0,1,0,0,0,1,0
段宜康,0,1,0,0,1,1,0,1963,0,1,0,0,0,0,0,0,0,1,1,0,0
高志鵬,0,1,0,0,1,0,1,1963,1,0,0,1,0,0,0,1,0,0,0,1,0
莊瑞雄,0,1,0,0,1,0,1,1963,0,1,0,0,0,0,0,0,0,0,0,0,0
許添財,0,1,0,0,1,0,1,1951,1,0,0,0,1,0,0,0,0,0,0,0,0
許智傑,0,1,0,0,1,0,1,1966,0,0,0,0,0,1,0,0,0,0,1,0,0
陳其邁,0,1,0,0,1,0,0,1964,0,1,0,0,0,0,0,0,0,1,1,1,0
陳明文,0,1,0,0,1,0,1,1954,0,0,0,1,0,0,0,0,0,0,1,0,0
陳亭妃,0,1,0,0,0,0,1,1974,1,0,1,0,0,1,0,0,0,0,1,1,0
陳唐山,0,1,0,0,1,0,1,1935,0,0,1,0,0,0,0,0,0,0,0,1,0
陳素月,0,1,0,0,0,0,1,1966,0,0,0,0,0,0,1,0,0,0,0,0,0
陳節如,0,1,0,0,0,0,0,1944,0,0,0,0,0,0,0,0,1,1,1,0,0
陳歐珀,0,1,0,0,1,0,1,1962,0,0,1,0,0,0,1,0,1,0,1,0,0
黃偉哲,0,1,0,0,1,0,1,1963,1,0,1,1,0,0,0,0,0,0,1,0,1
黃國書,0,1,0,0,1,0,1,1964,0,0,0,0,0,1,0,0,0,0,0,0,0
楊曜,0,1,0,0,1,0,1,1966,0,0,0,0,0,0,0,0,1,0,0,0,0
葉宜津,0,1,0,0,0,0,1,1960,0,0,0,0,0,0,1,0,0,0,1,0,1
管碧玲,0,1,0,0,0,0,1,1956,1,0,0,0,0,0,1,0,0,0,1,1,0
趙天麟,0,1,0,0,1,1,1,1973,0,0,0,0,0,0,0,0,1,1,1,1,0
劉建國,0,1,0,0,1,0,1,1969,0,0,0,0,0,0,0,0,1,0,1,0,0
劉櫂豪,0,1,0,0,1,0,1,1967,0,0,0,0,0,0,1,0,0,0,1,0,1
蔡其昌,0,1,0,0,1,0,1,1969,0,0,0,0,0,0,1,1,0,0,1,0,0
蔡煌瑯,0,1,0,0,1,0,0,1960,1,0,1,0,0,0,0,0,0,1,0,0,0
鄭麗君,0,1,0,0,0,0,0,1969,0,0,0,0,0,1,0,0,0,1,1,1,0
蕭美琴,0,1,0,0,0,0,0,1971,0,0,1,0,0,0,0,0,0,1,1,0,0
薛凌,0,1,0,0,0,0,0,1954,1,0,0,0,1,0,0,0,0,1,1,0,0
蘇震清,0,1,0,0,1,0,1,1965,1,0,0,1,0,0,0,0,0,0,1,0,0
李桐豪,0,0,1,0,1,1,0,1955,0,0,1,0,0,0,0,0,0,1,0,1,0
李鴻鈞,0,0,1,0,0,0,1,1959,0,0,0,0,0,0,1,0,0,0,0,0,0
陳怡潔,0,0,1,0,0,0,0,1979,0,1,0,1,0,0,0,0,0,0,0,0,0
周倪安,0,0,0,1,0,0,0,1972,0,1,0,0,0,0,0,0,0,1,0,0,1
葉津鈴,0,0,0,1,0,0,0,1947,0,0,0,1,0,0,0,0,0,1,0,0,1
賴振昌,0,0,0,1,1,0,0,1958,0,0,0,0,1,1,0,0,0,1,0,1,0
徐欣瑩,0,0,0,0,0,0,1,1972,0,0,0,0,1,0,0,0,1,0,0,0,1
高金素梅,0,0,0,0,0,0,1,1965,1,0,0,0,0,1,0,0,0,0,0,0,0